N,Ст.№,Състезател,Име,Фамилия,username,Отбор,Мотор,Общо,race_day-1,race_day-2,race_day-3,race_day-4,race_day-6, race_day-7,race_day-8
1,15,Мартин МАРИНОВ,Мартин,МАРИНОВ,martin.marinov.15,ЕК ЛУДА РАБОТА,KTM 300 EXC,203,18,25,18,22,15,25,25
2,13,Любомир СИНЕВ,Любомир,СИНЕВ,lyubomir.sinev.13,СК БУЛДОК РОКЕТС,Gas Gas ec 300,171,15,16,20,13,16,,22
3,134,Красимир БОШНАКОВ,Красимир,БОШНАКОВ,krasimir.boshnakov.134,ЕК ЛУДА РАБОТА,KTM300TBi,138,16,13,16,25,18,,20
4,272,Кристиан ПЕТРОВ,Кристиан,ПЕТРОВ,kristian.petrov.272,МСК ХАРД РАЙДЪРС,KTM 300 EXC,115,22,22,25,0,,,0
5,393,Симеон НЕНКОВ,Симеон,НЕНКОВ,simeon.nenkov.393,НК Ендуро ВИКТОРИ,KTM 300 EXC,113,14,15,15,18,10,7,0
6,112,Станислав КИРИЛОВ,Станислав,КИРИЛОВ,stanislav.kirilov.112,СК БУЛДОК РОКЕТС,GAS GAS,109,25,18,22,,,,
7,131,Борис ЧАКЪРОВ,Борис,ЧАКЪРОВ,boris.chakarov.131,СК УАЙЛД ЕКСТРИЙМ РЕЙСИНГ,Husqvarna TE 300,104,20,20,0,0,22,,
8,189,Красимир ДИМИТРОВ,Красимир,ДИМИТРОВ,krasimir.dimitrov.189,МСК ХАРД РАЙДЪРС,KTM 300 ТПИ,67,13,0,14,16,14,,
9,171,Георги ПЕТРОВ,Георги,ПЕТРОВ,georgi.petrov.171,МСК ПРЕПАРАТОРИТЕ,Gas Gas Ec 300,57,,0,,20,0,,
10,217,Данаил КОСТАДИНОВ,Данаил,КОСТАДИНОВ,danail.kostadinov.217,МСК ХАРД РАЙДЪРС,KTM 300 EXC,49,12,0,0,14,0,0,15
11,19,Любомир ИВАНОВ,Любомир,ИВАНОВ,lyubomir.ivanov.19,АЛБА ДАМАСЦЕНА МСК,Ktm 250,40,,,,,25,,
12,238,Пламен КОВАЧЕВ,Пламен,КОВАЧЕВ,plamen.kovachev.238,АЛБА ДАМАСЦЕНА МСК,Gas Gas ec 300,40,,,,,0,,16
13,915,Байрям КЪРМАДЖИ,Байрям,КЪРМАДЖИ,bayryam.karmadzhi.915,СК АФГ ТИМ,Husqvarna 300TBi,33,,0,,0,13,,14
14,255,Димитър ТИНЧЕВ,Димитър,ТИНЧЕВ,dimitar.tinchev.255,АЛБА ДАМАСЦЕНА МСК,KTM 300,30,,,,,,,18
15,412,Цветан МИХАЙЛОВ,Цветан,МИХАЙЛОВ,tsvetan.mihaylov.412,МСК ПРЕПАРАТОРИТЕ,TE300i,18,,,,15,,,
16,34,Георги ГЕОРГИЕВ,Георги,ГЕОРГИЕВ,georgi.georgiev.34,ЕК ЛУДА РАБОТА,Husqvarna tpi300,15,,,,,,,
17,845,Валентин ПЕТКОВ,Валентин,ПЕТКОВ,valentin.petkov.845,МОТОЦИКЛЕТЕН КЛУБ БОЛЯРИ,Gas Gas ec300,14,,14,,,,,
18,99,Светослав МАРИНОВ,Светослав,МАРИНОВ,svetoslav.marinov.99,МСК ЕНДУРО СЕВЛИЕВО,Gas Gas EC300,12,,12,,,,,
19,262,Антоан НИКОЛОВ,Антоан,НИКОЛОВ,antoan.nikolov.262,СК КЪРТАЧИТЕ,KTM EXC 300,0,,0,,,,,
20,40,Мирослав ХРИСТОВ,Мирослав,ХРИСТОВ,miroslav.hristov.40,АЛБА ДАМАСЦЕНА МСК,Ktm 300,0,,,,,0,0,
